open_time,open,high,low,close,volume
2020-11-27 08:00:00,520.21,530.85,493.64,518.96,6566.98172
2020-11-28 08:00:00,518.96,548.68,507.1,537.98,5467.76039
2020-11-29 08:00:00,537.92,577.52,531.21,576.49,5128.36705
2020-11-30 08:00:00,577.18,616.71,571.34,616.68,10307.85355
2020-12-01 08:00:00,617.0,636.26,563.73,585.78,14955.90466
2020-12-02 08:00:00,585.5,604.37,575.62,597.71,7008.12432
2020-12-03 08:00:00,597.4,623.56,586.34,617.0,5339.80085
2020-12-04 08:00:00,616.67,620.39,566.0,567.75,7455.91219
2020-12-05 08:00:00,567.41,597.54,561.07,597.4,3484.3289
2020-12-06 08:00:00,597.52,607.8,583.31,601.86,3722.67235
2020-12-07 08:00:00,601.67,603.0,583.67,591.32,2415.19863
2020-12-08 08:00:00,590.94,595.0,549.16,554.66,7005.13326
2020-12-09 08:00:00,554.73,577.52,530.52,573.95,7240.10138
2020-12-10 08:00:00,573.7,575.74,548.05,558.59,4837.4813
2020-12-11 08:00:00,559.11,560.2,535.43,543.83,7350.2544
2020-12-12 08:00:00,544.27,574.16,543.05,568.3,4328.2719
2020-12-13 08:00:00,568.3,595.0,563.83,590.66,3779.83151
2020-12-14 08:00:00,589.78,591.41,575.1,586.22,2452.43904
2020-12-15 08:00:00,586.87,596.76,578.75,589.24,3366.13798
2020-12-16 08:00:00,588.97,640.0,580.88,637.7,8519.70913
2020-12-17 08:00:00,638.27,676.8,626.47,643.73,14786.09851
2020-12-18 08:00:00,643.64,664.66,630.08,655.13,6825.27157
2020-12-19 08:00:00,654.97,671.33,646.49,659.87,5281.65223
2020-12-20 08:00:00,659.0,660.8,621.21,638.43,5979.38194
2020-12-21 08:00:00,638.43,648.17,595.84,607.77,8227.7592
2020-12-22 08:00:00,608.52,638.0,588.3,637.0,7506.41602
2020-12-23 08:00:00,637.08,638.23,551.0,585.57,12371.07229
2020-12-24 08:00:00,585.11,615.0,565.84,611.92,7084.58404
2020-12-25 08:00:00,612.88,633.73,604.32,626.55,7245.73514
2020-12-26 08:00:00,626.66,652.84,616.12,637.04,8537.41685
2020-12-27 08:00:00,636.62,717.32,625.75,683.61,19041.61544
2020-12-28 08:00:00,685.22,747.0,681.23,729.95,14229.4641
2020-12-29 08:00:00,729.31,739.18,688.75,731.74,11589.22915
2020-12-30 08:00:00,732.21,758.63,716.44,752.77,9247.61386
2020-12-31 08:00:00,753.16,755.62,722.77,737.73,7190.98017
2021-01-01 08:00:00,738.23,750.17,716.65,730.63,6277.17613
2021-01-02 08:00:00,731.33,788.88,717.27,775.5,14995.70735
2021-01-03 08:00:00,775.57,1012.5,770.0,979.09,36197.45052
2021-01-04 08:00:00,980.52,1169.05,880.0,1043.18,45732.40441
2021-01-05 08:00:00,1041.88,1135.44,976.05,1103.47,34004.23957
2021-01-06 08:00:00,1103.0,1216.0,1058.82,1209.68,26212.0777
2021-01-07 08:00:00,1213.41,1290.0,1140.0,1224.96,24819.92275
2021-01-08 08:00:00,1227.5,1274.81,1059.9,1217.82,29399.23916
2021-01-09 08:00:00,1216.84,1317.83,1173.33,1281.11,17471.42235
2021-01-10 08:00:00,1281.31,1349.99,1155.0,1254.44,24075.44088
2021-01-11 08:00:00,1254.44,1260.15,912.0,1089.38,51588.82076
2021-01-12 08:00:00,1088.99,1149.97,1004.88,1049.2,27633.7997
2021-01-13 08:00:00,1049.8,1137.22,987.3,1131.34,23568.94402
2021-01-14 08:00:00,1130.94,1148.0,1105.0,1106.9,3502.89035
